stop,vehicle_id,mid_time,date
Zoo,1960,2025-05-19 08:40:41.577889500,2025-05-19
Toompark,1960,2025-05-19 09:02:33.884617000,2025-05-19
Zoo,1113,2025-05-20 08:40:46.828182500,2025-05-20
Toompark,1113,2025-05-20 08:57:19.689681500,2025-05-20
Zoo,1961,2025-05-21 08:39:38.877585000,2025-05-21
Toompark,1961,2025-05-21 08:54:26.313446000,2025-05-21
Zoo,1109,2025-05-22 08:40:38.990763000,2025-05-22
Toompark,1109,2025-05-22 08:56:48.456954500,2025-05-22
Zoo,1477,2025-05-23 08:39:17.947610000,2025-05-23
Toompark,1477,2025-05-23 08:53:53.124072500,2025-05-23
Zoo,1967,2025-05-26 08:40:06.564722000,2025-05-26
Toompark,1967,2025-05-26 08:57:59.462270000,2025-05-26
Zoo,1107,2025-05-27 08:38:54.712223000,2025-05-27
Toompark,1107,2025-05-27 08:56:30.623385500,2025-05-27
Zoo,1474,2025-05-28 08:40:00.635856000,2025-05-28
Toompark,1474,2025-05-28 08:58:02.746728000,2025-05-28
Zoo,1942,2025-05-29 08:41:18.134888500,2025-05-29
Toompark,1942,2025-05-29 08:59:43.812247500,2025-05-29
